,Name,City,Country,IATA,Latitude,Longitude,Altitude,Type
577,Patos de Minas Airport,Patos de Minas,Brazil,POJ,-18.672800064086918,-46.4911994934082,2793.0,airport
578,Bauru - Arealva Airport,Bauru,Brazil,JTC,-22.1668591409,-49.0502866745,1949.0,airport
579,Ourilândia do Norte Airport,Ourilandia do Norte,Brazil,OIA,-6.763100147250001,-51.0499000549,901.0,airport
580,Redenção Airport,Redencao,Brazil,RDC,-8.033289909362793,-49.97990036010742,670.0,airport
581,São Félix do Xingu Airport,Sao Felix do Xingu,Brazil,SXX,-6.6413,-51.9523,656.0,airport
582,Bonito Airport,Bointo,Brazil,BYO,-21.247299,-56.452499,1180.0,airport
583,São Félix do Araguaia Airport,Sao Felix do Araguaia,Brazil,SXO,-11.632399559020996,-50.68960189819336,650.0,airport
584,Caçador Airport,Cacador,Brazil,CFC,-26.78840065,-50.9398002625,3376.0,airport
585,Carauari Airport,Carauari,Brazil,CAF,-4.871520042419434,-66.89749908447266,355.0,airport
586,Urucu Airport,Porto Urucu,Brazil,\N,-4.88422012329,-65.3554000854,243.0,airport
587,Eirunepé Airport,Eirunepe,Brazil,ERN,-6.639530181884766,-69.87979888916016,412.0,airport
588,Concórdia Airport,Concordia,Brazil,CCI,-27.180599212646484,-52.05270004272461,2461.0,airport
589,Francisco Beltrão Airport,Francisco Beltrao,Brazil,FBE,-26.059200286865234,-53.0634994506836,2100.0,airport
590,Confresa Airport,Confresa,Brazil,CFO,-10.634400367736816,-51.5635986328125,781.0,airport
591,Umuarama Airport,Umuarama,Brazil,UMU,-23.7987003326416,-53.31380081176758,1558.0,airport
592,Diamantina Airport,Diamantina,Brazil,DTI,-18.232000351,-43.6503982544,4446.0,airport
593,Fonte Boa Airport,Fonte Boa,Brazil,FBA,-2.5326099395800004,-66.0831985474,207.0,airport
594,Senadora Eunice Micheles Airport,Sao Paulo de Olivenca,Brazil,OLC,-3.46792950765,-68.9204120636,335.0,airport
595,Humaitá Airport,Humaita,Brazil,HUW,-7.532120227810001,-63.072101593,230.0,airport
596,Tapuruquara Airport,Santa Isabel do Rio Negro,Brazil,IRZ,-0.3786,-64.9923,223.0,airport
597,Oriximiná Airport,Oriximina,Brazil,ORX,-1.714079976081848,-55.83620071411133,262.0,airport
598,Hotel Transamérica Airport,Una,Brazil,UNA,-15.3551998138,-38.9990005493,20.0,airport
599,General Villamil Airport,Isabela,Ecuador,IBB,-0.942628026009,-90.9530029297,35.0,airport
600,Tiputini Airport,Tiputini,Ecuador,TPN,-0.7761110067367554,-75.52639770507812,997.0,airport
601,Rio Amazonas Airport,Pastaza,Ecuador,PTZ,-1.5052399635299998,-78.0626983643,3465.0,airport
602,Robinson Crusoe Airport,San Juan Bautista,Chile,\N,-33.6650009155,-78.9297027588,433.0,airport
603,Termas de Río Hondo international Airport,Rio Hondo,Argentina,RHD,-27.4966,-64.93595,935.0,airport
604,Lorenzo Airport,Morro de Sao Paulo,Brazil,\N,-13.389444351196287,-38.90999984741211,3.0,airport
605,Botucatu - Tancredo de Almeida Neves Airport,Botucatu,Brazil,QCJ,-22.939501,-48.467999,3012.0,airport
606,Base Aérea Airport,Anapolis,Brazil,\N,-16.2292,-48.964298,3731.0,airport
607,Mário Pereira Lopes–São Carlos Airport,Sao Carlos,Brazil,QSC,-21.875401,-47.903703,2649.0,airport
608,Caldera Airport,Caldera,Chile,\N,-27.078100204467773,-70.79530334472656,180.0,airport
609,San Pedro de Atacama Airport,San Pedro de Atacama,Chile,\N,-22.92169952392578,-68.15840148925781,7960.0,airport
610,Copacabana Airport,Copacabana,Bolivia,\N,-16.191099166870117,-69.09559631347656,12591.0,airport
611,Estadual Arthur Siqueira Airport,Braganca Paulista,Brazil,BJP,-22.979162,-46.537508,2887.0,airport
612,Americana Airport,Americana,Brazil,\N,-22.755800247192383,-47.26940155029297,2085.0,airport
613,Washabo Airport,Washabo,Suriname,WSO,5.215277,-57.185302,68.0,airport
614,Bartica A Airport,Bartica,Guyana,GFO,6.358864,-58.655207,3.0,airport
615,Tingo Maria Airport,Tingo Maria,Peru,TGI,-9.133000373840332,-75.94999694824219,2010.0,airport
616,Plínio Alarcom Airport,Tres Lagoas,Brazil,TJL,-20.754199981689,-51.684200286865,1050.0,airport
617,Cacoal Airport,Cacoal,Brazil,OAL,-11.496,-61.4508,778.0,airport
618,Mocopulli Airport,Castro,Chile,MHC,-42.340388,-73.715693,528.0,airport
619,Pouso Alegre Airport,Pouso Alegre,Brazil,PPY,-22.28919982910156,-45.91910171508789,2904.0,airport
620,Brigadeiro Cabral Airport,Divinopolis,Brazil,DIQ,-20.180700302124,-44.870899200439,2608.0,airport
621,Guarapari Airport,Guarapari,Brazil,GUZ,-20.646499633800005,-40.491901397700005,28.0,airport
